species,reproductive.mode,Mass,Forage mode
Lophosaurus_boydii,Oviparous,116.4,sit and wait
Lophosaurus_spinipes,Oviparous,91.6,sit and wait
Loxopholis_parietalis,Oviparous,51,widely foraging
Loxopholis_percarinatum,Oviparous,47.3,widely foraging
Loxopholis_rugiceps,Oviparous,51.3,widely foraging
Lucasium_damaeum,Oviparous,56.3,mixed
Lucasium_stenodactylum,Oviparous,70.1,sit and wait
Lygodactylus_capensis,Oviparous,34.4,sit and wait
Lygodactylus_klugei,Oviparous,33,mixed
Lygodactylus_picturatus,Oviparous,27.5,mixed
Lygodactylus_somalicus,Oviparous,27.5,sit and wait
Mabuya_mabouya,Viviparous,88.5,widely foraging
Marisora_unimarginata,Viviparous,91.7,widely foraging
Mediodactylus_kotschyi,Oviparous,47.7,sit and wait
Menetia_greyii,Oviparous,38.5,widely foraging
Meroles_anchietae,Oviparous,73.7,mixed
Meroles_cuneirostris,Oviparous,74.5,widely foraging
Meroles_squamulosus,Oviparous,81,sit and wait
Meroles_suborbitalis,Oviparous,73.7,sit and wait
Mesalina_brevirostris,Oviparous,64.8,widely foraging
Mesalina_guttulata,Oviparous,57.4,sit and wait
Mesalina_olivieri,Oviparous,57.4,widely foraging
Mesaspis_monticola,Viviparous,81.2,sit and wait
Micrablepharus_atticolus,Oviparous,47.7,widely foraging
Micrablepharus_maximiliani,Oviparous,67.5,widely foraging
Mochlus_sundevalli,Oviparous,72.4,widely foraging
Moloch_horridus,Oviparous,102.4,sit and wait
Morethia_adelaidensis,Oviparous,49.8,widely foraging
Morethia_boulengeri,Oviparous,57.8,widely foraging
Morethia_obscura,Oviparous,54.6,widely foraging
Nactus_pelagicus,Oviparous,55.9,sit and wait
Naultinus_gemmeus,Viviparous,96.1,sit and wait
Nephrurus_laevissimus,Oviparous,75.6,sit and wait
Nephrurus_levis,Oviparous,80.1,sit and wait
Nephrurus_vertebralis,Oviparous,83.9,sit and wait
Notomabuya_frenata,Viviparous,88.5,mixed
Nucras_intertexta,Oviparous,78.1,widely foraging
Nucras_lalandii,Oviparous,61.9,widely foraging
Nucras_tessellata,Oviparous,89.9,widely foraging
Oedura_marmorata,Oviparous,106.8,sit and wait
Oedura_monilis,Oviparous,93,sit and wait
Oedura_tryoni,Oviparous,105.2,sit and wait
Oligosoma_grande,Viviparous,117.6,widely foraging
Oligosoma_inconspicuum,Viviparous,72.4,widely foraging
Oligosoma_maccanni,Viviparous,79.2,widely foraging
Oligosoma_polychroma,Viviparous,95,widely foraging
Oligosoma_suteri,Oviparous,111.1,widely foraging
Oligosoma_zelandicum,Viviparous,78.8,widely foraging
Omanosaura_cyanura,Oviparous,76.6,widely foraging
Ophisops_elegans,Oviparous,60.1,widely foraging
Oplurus_cuvieri,Oviparous,170.9,mixed
Otosaurus_cumingi,Oviparous,123.1,widely foraging
Pachydactylus_capensis,Oviparous,56.5,sit and wait
Panaspis_maculicollis,Oviparous,49.8,widely foraging
Panaspis_nimbaensis,Oviparous,53,widely foraging
Panaspis_wahlbergi,Oviparous,45.2,widely foraging
Parvoscincus_steerei,Oviparous,42,widely foraging
Pedioplanis_lineoocellata,Oviparous,51.5,sit and wait
Pedioplanis_namaquensis,Oviparous,60.4,widely foraging
Phelsuma_grandis,Oviparous,82.7,sit and wait
Phelsuma_madagascariensis,Oviparous,78.6,sit and wait
Phoenicolacerta_laevis,Oviparous,68.3,widely foraging
Pholidoscelis_exsul,Oviparous,105,widely foraging
Pholidoscelis_fuscatus,Oviparous,153.9,widely foraging
Pholidoscelis_plei,Oviparous,113.4,widely foraging
Phrynocephalus_helioscopus,Oviparous,71.1,sit and wait
Phrynocephalus_interscapularis,Oviparous,62.1,sit and wait
Phrynocephalus_theobaldi,Viviparous,73.9,sit and wait
Phrynosoma_asio,Oviparous,88.5,sit and wait
Phrynosoma_blainvillii,Oviparous,68.4,widely foraging
Phrynosoma_cornutum,Oviparous,52.4,sit and wait
Phrynosoma_coronatum,Oviparous,71.1,mixed
Phrynosoma_douglasii,Viviparous,46.5,sit and wait
Phrynosoma_hernandesi,Viviparous,65.7,sit and wait
Phrynosoma_mcallii,Oviparous,87.2,sit and wait
Phrynosoma_modestum,Oviparous,47,mixed
Phrynosoma_orbiculare,Viviparous,60.9,sit and wait
Phrynosoma_platyrhinos,Oviparous,65.7,sit and wait
Phrynosoma_solare,Oviparous,77.8,mixed
Phyllodactylus_microphyllus,Oviparous,63.3,widely foraging
Phyllodactylus_reissii,Oviparous,63.3,widely foraging
Phyllodactylus_tuberculosus,Oviparous,63.3,sit and wait
Phyllopezus_pollicaris,Oviparous,84.8,sit and wait
Phymaturus_palluma,Viviparous,133.8,sit and wait
Phymaturus_patagonicus,Viviparous,114.6,sit and wait
Pinoyscincus_jagori,Oviparous,94.7,widely foraging
Platysaurus_intermedius,Oviparous,103.7,sit and wait
Plestiodon_copei,Viviparous,74.6,sit and wait
Plestiodon_egregius,Oviparous,66.9,widely foraging
Plestiodon_elegans,Oviparous,80.4,widely foraging
Plestiodon_fasciatus,Oviparous,74,widely foraging
Plestiodon_laticeps,Oviparous,89.2,widely foraging
Plestiodon_latiscutatus,Oviparous,87.5,widely foraging
Plestiodon_obsoletus,Oviparous,116,widely foraging
Plestiodon_septentrionalis,Oviparous,72.4,widely foraging
Plestiodon_skiltonianus,Oviparous,78.8,widely foraging
Plestiodon_tetragrammus,Oviparous,69.1,widely foraging
Plica_plica,Oviparous,117.7,sit and wait
